gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,target
female,group B,bachelor's degree,standard,none,72,72,74,1
female,group C,some college,standard,completed,69,90,88,1
female,group B,master's degree,standard,none,90,95,93,1
male,group A,associate's degree,free/reduced,none,47,57,44,1
male,group C,some college,standard,none,76,78,75,1
female,group B,associate's degree,standard,none,71,83,78,1
female,group B,some college,standard,completed,88,95,92,1
male,group B,some college,free/reduced,none,40,43,39,1
male,group D,high school,free/reduced,completed,64,64,67,1
female,group B,high school,free/reduced,none,38,60,50,1
male,group C,associate's degree,standard,none,58,54,52,1
male,group D,associate's degree,standard,none,40,52,43,1
female,group B,high school,standard,none,65,81,73,1
male,group A,some college,standard,completed,78,72,70,1
female,group A,master's degree,standard,none,50,53,58,1
female,group C,some high school,standard,none,69,75,78,1
male,group C,high school,standard,none,88,89,86,1
female,group B,some high school,free/reduced,none,18,32,28,1
male,group C,master's degree,free/reduced,completed,46,42,46,1
female,group C,associate's degree,free/reduced,none,54,58,61,1
male,group D,high school,standard,none,66,69,63,1
female,group B,some college,free/reduced,completed,65,75,70,1
male,group D,some college,standard,none,44,54,53,1
female,group C,some high school,standard,none,69,73,73,1
male,group D,bachelor's degree,free/reduced,completed,74,71,80,1
male,group A,master's degree,free/reduced,none,73,74,72,1
male,group B,some college,standard,none,69,54,55,1
female,group C,bachelor's degree,standard,none,67,69,75,1
male,group C,high school,standard,none,70,70,65,1
female,group D,master's degree,standard,none,62,70,75,1
female,group D,some college,standard,none,69,74,74,1
female,group B,some college,standard,none,63,65,61,1
female,group E,master's degree,free/reduced,none,56,72,65,1
male,group D,some college,standard,none,40,42,38,1
male,group E,some college,standard,none,97,87,82,1
male,group E,associate's degree,standard,completed,81,81,79,1
female,group D,associate's degree,standard,none,74,81,83,1
female,group D,some high school,free/reduced,none,50,64,59,1
female,group D,associate's degree,free/reduced,completed,75,90,88,1
male,group B,associate's degree,free/reduced,none,57,56,57,1
male,group C,associate's degree,free/reduced,none,55,61,54,1
female,group C,associate's degree,standard,none,58,73,68,1
female,group B,associate's degree,standard,none,53,58,65,1
male,group B,some college,free/reduced,completed,59,65,66,1
female,group E,associate's degree,free/reduced,none,50,56,54,1
male,group B,associate's degree,standard,none,65,54,57,1
female,group A,associate's degree,standard,completed,55,65,62,1
female,group C,high school,standard,none,66,71,76,1
female,group D,associate's degree,free/reduced,completed,57,74,76,1
male,group C,high school,standard,completed,82,84,82,1
male,group E,some college,standard,none,53,55,48,1
male,group E,associate's degree,free/reduced,completed,77,69,68,1
male,group C,some college,standard,none,53,44,42,1
male,group D,high school,standard,none,88,78,75,1
female,group C,some high school,free/reduced,completed,71,84,87,1
female,group C,high school,free/reduced,none,33,41,43,1
female,group E,associate's degree,standard,completed,82,85,86,1
male,group D,associate's degree,standard,none,52,55,49,1
male,group D,some college,standard,completed,58,59,58,1
female,group C,some high school,free/reduced,none,0,17,10,1
male,group E,bachelor's degree,free/reduced,completed,79,74,72,1
male,group A,some high school,free/reduced,none,39,39,34,1
male,group A,associate's degree,free/reduced,none,62,61,55,1
female,group C,associate's degree,standard,none,69,80,71,1
female,group D,some high school,standard,none,59,58,59,1
male,group B,some high school,standard,none,67,64,61,1
male,group D,some high school,free/reduced,none,45,37,37,1
female,group C,some college,standard,none,60,72,74,1
male,group B,associate's degree,free/reduced,none,61,58,56,1
female,group C,associate's degree,standard,none,39,64,57,1
female,group D,some college,free/reduced,completed,58,63,73,1
male,group D,some college,standard,completed,63,55,63,1
female,group A,associate's degree,free/reduced,none,41,51,48,1
male,group C,some high school,free/reduced,none,61,57,56,1
male,group C,some high school,standard,none,49,49,41,1
male,group B,associate's degree,free/reduced,none,44,41,38,1
male,group E,some high school,standard,none,30,26,22,1
male,group A,bachelor's degree,standard,completed,80,78,81,1
female,group D,some high school,standard,completed,61,74,72,1
female,group E,master's degree,standard,none,62,68,68,1
female,group B,associate's degree,standard,none,47,49,50,1
male,group B,high school,free/reduced,none,49,45,45,1
male,group A,some college,free/reduced,completed,50,47,54,1
male,group E,associate's degree,standard,none,72,64,63,1
male,group D,high school,free/reduced,none,42,39,34,1
female,group C,some college,standard,none,73,80,82,1
female,group C,some college,free/reduced,none,76,83,88,1
female,group D,associate's degree,standard,none,71,71,74,1
female,group A,some college,standard,none,58,70,67,1
female,group D,some high school,standard,none,73,86,82,1
female,group C,bachelor's degree,standard,none,65,72,74,1
male,group C,high school,free/reduced,none,27,34,36,1
male,group C,high school,standard,none,71,79,71,1
male,group C,associate's degree,free/reduced,completed,43,45,50,1
female,group B,some college,standard,none,79,86,92,1
male,group C,associate's degree,free/reduced,completed,78,81,82,1
male,group B,some high school,standard,completed,65,66,62,1
female,group E,some college,standard,completed,63,72,70,1
female,group D,some college,free/reduced,none,58,67,62,1
female,group D,bachelor's degree,standard,none,65,67,62,1
male,group B,some college,standard,none,79,67,67,1
male,group D,bachelor's degree,standard,completed,68,74,74,1
female,group D,associate's degree,standard,none,85,91,89,1
male,group B,high school,standard,completed,60,44,47,1
male,group C,some college,standard,completed,98,86,90,1
female,group C,some college,standard,none,58,67,72,1
female,group D,master's degree,standard,none,87,100,100,1
male,group E,associate's degree,standard,completed,66,63,64,1
female,group B,associate's degree,free/reduced,none,52,76,70,1
female,group B,some high school,standard,none,70,64,72,1
female,group D,associate's degree,free/reduced,completed,77,89,98,1
male,group C,high school,standard,none,62,55,49,1
male,group A,associate's degree,standard,none,54,53,47,1
